sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
Morehead St.,1314.2793,70.510124,77.061745,-6.5516276,-7.7229424,78.468651,148.89412
Pepperdine,1313.6746,73.945763,80.741112,-6.7953439,-0.75487542,13.15528,148.89412
Incarnate Word,1311.356,70.810867,77.488785,-6.6779165,-4.9497833,37.569916,148.89412
UC Riverside,1310.781,71.934128,78.706924,-6.7728043,-2.4145696,55.327568,148.89412
Northeastern,1309.1586,75.026733,82.06308,-7.0363441,-0.96658432,30.671776,148.89412
Mercyhurst,1308.9506,68.107811,74.692848,-6.5850391,-8.6818829,64.04966,148.89412
Western Michigan,1305.5905,72.232971,79.217972,-6.9850068,-2.9289277,53.489063,148.89412
Jacksonville,1299.4069,67.329178,74.199661,-6.8704767,-5.9795108,35.822746,148.89412
Lamar,1294.5898,65.947723,72.888474,-6.9407573,-4.6012106,85.805405,148.89412
South Dakota,1293.4248,73.193542,80.700058,-7.5065231,-6.3036876,63.499531,148.89412
Delaware,1293.3499,69.148773,76.366852,-7.21808,-2.18681,33.795605,148.89412
Central Connecticut,1289.0737,68.659866,75.996567,-7.3367066,-8.3992138,39.574753,148.89412
Northwestern St.,1287.3195,64.819374,71.929405,-7.1100349,-3.482986,41.777306,148.89412
North Carolina A&T,1285.2615,72.415924,80.172226,-7.7563081,-3.8068144,72.154762,148.89412
Idaho St.,1282.8623,71.193947,78.947853,-7.7539015,-4.6398697,60.385643,148.89412
Southern,1278.8926,72.701591,80.718712,-8.0171165,-8.4061003,79.552025,148.89412
UMass Lowell,1275.8004,72.241341,80.339088,-8.0977507,-7.4513216,59.360123,148.89412
Evansville,1272.7026,69.351746,77.336121,-7.9843683,2.1156349,71.934639,148.89412
West Georgia,1272.1195,70.802246,78.923843,-8.1215982,-6.1147361,58.721302,148.89412
Wagner,1269.5762,66.967056,74.871445,-7.9043808,-8.6149101,43.056393,148.89412
SE Louisiana,1267.0354,65.464661,73.335022,-7.8703547,-2.712878,46.787399,148.89412
Prairie View A&M,1266.9824,69.613045,77.828011,-8.214963,-10.76947,59.085884,148.89412
Albany,1263.731,68.406639,76.640511,-8.2338705,-7.0547709,37.197033,148.89412
Sacramento St.,1261.3588,73.211311,81.932808,-8.7215033,-4.0553212,43.517941,148.89412
Eastern Kentucky,1261.2664,74.890556,83.75425,-8.863698,-5.2361097,72.392281,148.89412
Loyola Maryland,1253.3175,72.543556,81.514259,-8.9706984,-7.0613523,31.566936,148.89412
